analysis,Parm,mod,group,RR,UCI,LCI,Probt,exposure,cases,total,
unadjusted,mosmkv_adol,adol,mom,1.106,1.836,0.667,0.673,Maternal smoking Ever vs. Never,193,3795,"1.11 (0.67, 1.84)"
unadjusted,moshiftb_adol,adol,mom,0.664,0.901,0.49,0.009,Maternal Shiftwork Some vs. None,193,3795,"0.66 (0.49, 0.9)"
unadjusted,mowestv_pregm,preg,mom,1.072,1.43,0.803,0.632,Maternal Western Diet (trend),193,3795,"1.07 (0.8, 1.43)"
unadjusted,mopav_pregm,preg,mom,0.992,1.003,0.981,0.134,Maternal  physical activity (trend),193,3795,"0.99 (0.98, 1)"
unadjusted,mowestv_earlychm,earlych,mom,1.096,1.438,0.836,0.504,Maternal Western Diet (trend),193,3795,"1.1 (0.84, 1.44)"
unadjusted,mopav_earlychm,earlych,mom,0.992,1.003,0.981,0.142,Maternal  physical activity (trend),193,3795,"0.99 (0.98, 1)"
unadjusted,mowestv_chm,ch,mom,1.17,1.507,0.908,0.226,Maternal Western Diet (trend),193,3795,"1.17 (0.91, 1.51)"
unadjusted,mopav_chm,ch,mom,0.995,1.007,0.983,0.411,Maternal  physical activity (trend),193,3795,"1 (0.98, 1.01)"
unadjusted,mowestv_adolm,adol,mom,0.963,1.266,0.733,0.785,Maternal Western Diet (trend),193,3795,"0.96 (0.73, 1.27)"
unadjusted,mopav_adolm,adol,mom,0.99,1.002,0.978,0.092,Maternal  physical activity (trend),193,3795,"0.99 (0.98, 1)"
adjusted,pregmowestq1,preg,mom,1.104,1.913,0.637,0.718,Maternal Western Diet Q2 vs. Q1,193,3795,"1.1 (0.64, 1.91)"
adjusted,pregmowestq2,preg,mom,1.164,2.287,0.592,0.644,Maternal Western Diet Q3 vs. Q1,193,3795,"1.16 (0.59, 2.29)"
adjusted,pregmowestq3,preg,mom,1.16,2.129,0.632,0.629,Maternal Western Diet Q4 vs. Q1,193,3795,"1.16 (0.63, 2.13)"
adjusted,pregmopaq0,preg,mom,1.576,2.467,1.007,0.046,Maternal physical activity Q1 vs. Q4,193,3795,"1.58 (1.01, 2.47)"
adjusted,pregmopaq1,preg,mom,1.077,1.849,0.627,0.783,Maternal physical activity Q2 vs. Q4,193,3795,"1.08 (0.63, 1.85)"
adjusted,pregmopaq2,preg,mom,1.202,1.973,0.733,0.457,Maternal physical activity Q3 vs. Q4,193,3795,"1.2 (0.73, 1.97)"
adjusted,mosmkv_preg,preg,mom,1.094,1.836,0.652,0.712,Maternal smoking Ever vs. Never,193,3795,"1.09 (0.65, 1.84)"
adjusted,moshiftb_preg,preg,mom,1.096,1.619,0.741,0.64,Maternal Shiftwork Some vs. None,193,3795,"1.1 (0.74, 1.62)"
adjusted,earlychmowestq1,earlych,mom,1.01,1.663,0.614,0.967,Maternal Western Diet Q2 vs. Q1,193,3795,"1.01 (0.61, 1.66)"
adjusted,earlychmowestq2,earlych,mom,0.844,1.589,0.448,0.593,Maternal Western Diet Q3 vs. Q1,193,3795,"0.84 (0.45, 1.59)"
adjusted,earlychmowestq3,earlych,mom,0.932,2.002,0.434,0.855,Maternal Western Diet Q4 vs. Q1,193,3795,"0.93 (0.43, 2)"
adjusted,earlychmopaq0,earlych,mom,1.685,2.97,0.956,0.07,Maternal physical activity Q1 vs. Q4,193,3795,"1.69 (0.96, 2.97)"
adjusted,earlychmopaq1,earlych,mom,1.455,2.512,0.843,0.174,Maternal physical activity Q2 vs. Q4,193,3795,"1.46 (0.84, 2.51)"
adjusted,earlychmopaq2,earlych,mom,1.209,2.085,0.701,0.486,Maternal physical activity Q3 vs. Q4,193,3795,"1.21 (0.7, 2.09)"
adjusted,mosmkv_earlych,earlych,mom,1.076,1.821,0.636,0.765,Maternal smoking Ever vs. Never,193,3795,"1.08 (0.64, 1.82)"
adjusted,moshiftb_earlych,earlych,mom,1.421,2.082,0.971,0.07,Maternal Shiftwork Some vs. None,193,3795,"1.42 (0.97, 2.08)"
adjusted,chmowestq1,ch,mom,0.856,1.552,0.472,0.594,Maternal Western Diet Q2 vs. Q1,193,3795,"0.86 (0.47, 1.55)"
adjusted,chmowestq2,ch,mom,0.722,1.345,0.388,0.3,Maternal Western Diet Q3 vs. Q1,193,3795,"0.72 (0.39, 1.35)"
adjusted,chmowestq3,ch,mom,0.764,1.705,0.342,0.506,Maternal Western Diet Q4 vs. Q1,193,3795,"0.76 (0.34, 1.71)"
adjusted,chmopaq0,ch,mom,1.221,1.934,0.771,0.391,Maternal physical activity Q1 vs. Q4,193,3795,"1.22 (0.77, 1.93)"
adjusted,chmopaq1,ch,mom,0.992,1.585,0.621,0.973,Maternal physical activity Q2 vs. Q4,193,3795,"0.99 (0.62, 1.59)"
adjusted,chmopaq2,ch,mom,0.954,1.501,0.606,0.836,Maternal physical activity Q3 vs. Q4,193,3795,"0.95 (0.61, 1.5)"
adjusted,mosmkv_ch,ch,mom,1.084,1.813,0.648,0.739,Maternal smoking Ever vs. Never,193,3795,"1.08 (0.65, 1.81)"
adjusted,moshiftb_ch,ch,mom,0.971,1.446,0.652,0.885,Maternal Shiftwork Some vs. None,193,3795,"0.97 (0.65, 1.45)"
adjusted,adolmowestq1,adol,mom,1.159,2.249,0.598,0.639,Maternal Western Diet Q2 vs. Q1,193,3795,"1.16 (0.6, 2.25)"
adjusted,adolmowestq2,adol,mom,0.917,1.634,0.514,0.764,Maternal Western Diet Q3 vs. Q1,193,3795,"0.92 (0.51, 1.63)"
adjusted,adolmowestq3,adol,mom,0.816,1.582,0.421,0.54,Maternal Western Diet Q4 vs. Q1,193,3795,"0.82 (0.42, 1.58)"
adjusted,adolmopaq0,adol,mom,1.646,3.022,0.896,0.105,Maternal physical activity Q1 vs. Q4,193,3795,"1.65 (0.9, 3.02)"
adjusted,adolmopaq1,adol,mom,1.353,2.293,0.798,0.257,Maternal physical activity Q2 vs. Q4,193,3795,"1.35 (0.8, 2.29)"
adjusted,adolmopaq2,adol,mom,1.085,1.87,0.63,0.764,Maternal physical activity Q3 vs. Q4,193,3795,"1.09 (0.63, 1.87)"
adjusted,mosmkv_adol,adol,mom,1.075,1.791,0.646,0.763,Maternal smoking Ever vs. Never,193,3795,"1.08 (0.65, 1.79)"
adjusted,moshiftb_adol,adol,mom,0.627,0.854,0.46,0.003,Maternal Shiftwork Some vs. None,193,3795,"0.63 (0.46, 0.85)"
adjusted,mowestv_pregm,preg,mom,1.072,1.43,0.803,0.632,Maternal Western Diet (trend),193,3795,"1.07 (0.8, 1.43)"
adjusted,mopav_pregm,preg,mom,0.992,1.003,0.981,0.134,Maternal  physical activity (trend),193,3795,"0.99 (0.98, 1)"
adjusted,mowestv_earlychm,earlych,mom,0.955,1.369,0.666,0.8,Maternal Western Diet (trend),193,3795,"0.96 (0.67, 1.37)"
adjusted,mopav_earlychm,earlych,mom,0.987,1.001,0.972,0.072,Maternal  physical activity (trend),193,3795,"0.99 (0.97, 1)"
adjusted,mowestv_chm,ch,mom,0.879,1.278,0.605,0.496,Maternal Western Diet (trend),193,3795,"0.88 (0.61, 1.28)"
adjusted,mopav_chm,ch,mom,0.996,1.009,0.982,0.531,Maternal  physical activity (trend),193,3795,"1 (0.98, 1.01)"
adjusted,mowestv_adolm,adol,mom,0.874,1.163,0.656,0.353,Maternal Western Diet (trend),193,3795,"0.87 (0.66, 1.16)"
adjusted,mopav_adolm,adol,mom,0.988,1.003,0.975,0.105,Maternal  physical activity (trend),193,3795,"0.99 (0.98, 1)"
unadjusted,moob_preg,preg,mom,2.78,4.46,1.73,0,Maternal Obesity,193,3795,"2.78 (1.73, 4.46)"
unadjusted,moob_earlych,earlych,mom,2.59,4,1.68,0,Maternal Obesity,193,3795,"2.59 (1.68, 4)"
unadjusted,moob_ch,ch,mom,2.92,4.23,2.01,0,Maternal Obesity,193,3795,"2.92 (2.01, 4.23)"
unadjusted,moob_adol,adol,mom,3.03,4.34,2.12,0,Maternal Obesity,193,3795,"3.03 (2.12, 4.34)"
adjusted,moob_preg,preg,mom,2.78,4.46,1.73,0,Maternal Obesity,193,3795,"2.78 (1.73, 4.46)"
adjusted,moob_earlych,earlych,mom,2.19,4.26,1.12,0.02,Maternal Obesity,193,3795,"2.19 (1.12, 4.26)"
adjusted,moob_ch,ch,mom,2.7,4.46,1.64,0,Maternal Obesity,193,3795,"2.7 (1.64, 4.46)"
adjusted,moob_adol,adol,mom,2.23,4.27,1.17,0.02,Maternal Obesity,193,3795,"2.23 (1.17, 4.27)"
unadjusted,pregsesq0,preg,socio,1.173,1.77,0.778,0.44,nSES Q1 vs. Q4,292,7107,"1.17 (0.78, 1.77)"
unadjusted,pregsesq1,preg,socio,1.036,1.562,0.686,0.866,nSES Q2 vs. Q4,292,7107,"1.04 (0.69, 1.56)"
unadjusted,pregsesq2,preg,socio,0.984,1.453,0.666,0.935,nSES Q3 vs. Q4,292,7107,"0.98 (0.67, 1.45)"
unadjusted,earlychsesq0,earlych,socio,1.309,2.14,0.8,0.269,nSES Q1 vs. Q4,292,7107,"1.31 (0.8, 2.14)"
unadjusted,earlychsesq1,earlych,socio,1.088,1.681,0.704,0.699,nSES Q2 vs. Q4,292,7107,"1.09 (0.7, 1.68)"
unadjusted,earlychsesq2,earlych,socio,1.021,1.535,0.679,0.919,nSES Q3 vs. Q4,292,7107,"1.02 (0.68, 1.54)"
unadjusted,chsesq0,ch,socio,1.379,2.067,0.92,0.118,nSES Q1 vs. Q4,292,7107,"1.38 (0.92, 2.07)"
unadjusted,chsesq1,ch,socio,1.027,1.671,0.631,0.911,nSES Q2 vs. Q4,292,7107,"1.03 (0.63, 1.67)"
unadjusted,chsesq2,ch,socio,1.056,1.554,0.717,0.782,nSES Q3 vs. Q4,292,7107,"1.06 (0.72, 1.55)"
unadjusted,adolsesq0,adol,socio,1.529,2.458,0.951,0.078,nSES Q1 vs. Q4,292,7107,"1.53 (0.95, 2.46)"
unadjusted,adolsesq1,adol,socio,1.039,1.801,0.599,0.885,nSES Q2 vs. Q4,292,7107,"1.04 (0.6, 1.8)"
unadjusted,adolsesq2,adol,socio,1.015,1.609,0.64,0.947,nSES Q3 vs. Q4,292,7107,"1.02 (0.64, 1.61)"
unadjusted,sesv_pregm,preg,socio,0.979,1.032,0.928,0.424,nSES (trend),292,7107,"0.98 (0.93, 1.03)"
unadjusted,sesv_earlychm,earlych,socio,0.965,1.03,0.905,0.27,nSES (trend),292,7107,"0.97 (0.91, 1.03)"
unadjusted,sesv_chm,ch,socio,0.963,1.016,0.912,0.163,nSES (trend),292,7107,"0.96 (0.91, 1.02)"
unadjusted,sesv_adolm,adol,socio,0.951,1.009,0.896,0.091,nSES (trend),292,7107,"0.95 (0.9, 1.01)"
adjusted,pregsesq0,preg,socio,1.173,1.77,0.778,0.44,nSES Q1 vs. Q4,292,7107,"1.17 (0.78, 1.77)"
adjusted,pregsesq1,preg,socio,1.036,1.562,0.686,0.866,nSES Q2 vs. Q4,292,7107,"1.04 (0.69, 1.56)"
adjusted,pregsesq2,preg,socio,0.984,1.453,0.666,0.935,nSES Q3 vs. Q4,292,7107,"0.98 (0.67, 1.45)"
