,parameter,exposure,group,subgroup,RR,LCI,UCI,Q_stat,p_het,category,mod
157,rr,Household income 50-99 k vs. >=150 k,sex,female,1.4053,0.98967,1.99548,1.12,0.28812,Social,socio
158,rr,Household income 100-149 k vs. >=150 k,sex,female,1.26241,0.89851,1.77368,0.28,0.59481,Social,socio
159,rr,Paternal education high school and below vs. graduate school,sex,male,1.41991,1.14295,1.76399,0.12,,Social,socio
160,rr,Paternal education college vs. graduate school,sex,male,1.26512,1.05427,1.51813,0,,Social,socio
161,rr,Household income <50 k vs. >=150 k,sex,male,1.35679,1.00167,1.8378,0.07,,Social,socio
162,rr,Household income 50-99 k vs. >=150 k,sex,male,1.12443,0.89029,1.42013,1.12,,Social,socio
163,rr,Household income 100-149 k vs. >=150 k,sex,male,1.11781,0.82018,1.52343,0.28,,Social,socio
164,rr,Paternal education high school and below vs. graduate school,mob,moob,0.94755,0.57583,1.55924,3.65,0.05599,Social,socio
165,rr,Paternal education college vs. graduate school,mob,moob,1.01645,0.65695,1.57268,0.89,0.34426,Social,socio
166,rr,Household income <50 k vs. >=150 k,mob,moob,1.25294,0.6083,2.58071,0,0.9766,Social,socio
167,rr,Household income 50-99 k vs. >=150 k,mob,moob,1.05667,0.59376,1.88047,0.1,0.74959,Social,socio
168,rr,Household income 100-149 k vs. >=150 k,mob,moob,1.08532,0.62497,1.88478,0,0.98083,Social,socio
169,rr,Paternal education high school and below vs. graduate school,mob,nomoob,1.53304,1.24629,1.88577,3.65,,Social,socio
170,rr,Paternal education college vs. graduate school,mob,nomoob,1.24367,1.05249,1.46957,0.89,,Social,socio
171,rr,Household income <50 k vs. >=150 k,mob,nomoob,1.26626,0.93742,1.71046,0,,Social,socio
172,rr,Household income 50-99 k vs. >=150 k,mob,nomoob,1.15845,0.94463,1.42067,0.1,,Social,socio
173,rr,Household income 100-149 k vs. >=150 k,mob,nomoob,1.09293,0.8581,1.39203,0,,Social,socio
174,rr,Paternal education high school and below vs. graduate school,age,teen,1.40903,1.16148,1.70936,0.84,0.35657,Social,socio
175,rr,Paternal education college vs. graduate school,age,teen,1.23252,1.03373,1.46954,0.35,0.5494,Social,socio
176,rr,Household income <50 k vs. >=150 k,age,teen,1.39674,1.07753,1.81051,0.03,0.85851,Social,socio
177,rr,Household income 50-99 k vs. >=150 k,age,teen,1.23021,0.96921,1.56148,0,0.96729,Social,socio
178,rr,Household income 100-149 k vs. >=150 k,age,teen,1.17161,0.92243,1.48809,0,0.99547,Social,socio
145,rr,Obesity yes vs. no,age,child,3.63667,2.67951,4.93573,1.02,,Maternal,mom
146,rr,Obesity yes vs. no,sex,female,3.66912,3.04678,4.41858,4.74,0.02931,Maternal,mom
147,rr,Obesity yes vs. no,sex,male,2.73772,2.26099,3.31497,4.74,,Maternal,mom
148,rr,Obesity yes vs. no,age,teen,3.05913,2.66385,3.51305,1.02,0.31089,Maternal,mom
,rr,Obesity yes vs. no,mob,moob,,,,,,Maternal,mom
,rr,Obesity yes vs. no,mob,nomoob,,,,,,Maternal,mom
61,rr,Western diet (m) Q2 vs. Q1,age,child,1.12231,0.73169,1.72146,0,,Maternal,mom
62,rr,Western diet (m) Q3 vs. Q1,age,child,1.28851,0.7861,2.11201,0.01,,Maternal,mom
63,rr,Western diet (m) Q4 vs. Q1,age,child,1.7975,1.05001,3.0771,0.09,,Maternal,mom
64,rr,Physical activity (m) Q1 vs. Q4,age,child,1.0523,0.70078,1.58015,1.88,,Maternal,mom
65,rr,Physical activity (m) Q2 vs. Q4,age,child,1.17515,0.77257,1.78751,0.09,,Maternal,mom
66,rr,Physical activity (m) Q3 vs. Q4,age,child,1.03647,0.63733,1.68559,0.5,,Maternal,mom
67,rr,Smoking past vs. never,age,child,1.0215,0.73212,1.42526,0.83,,Maternal,mom
68,rr,Smoking current vs. never,age,child,0.79172,0.42168,1.48646,3.84,,Maternal,mom
69,rr,Night-shift work Q2 vs. Q1,age,child,1.66994,1.13911,2.44814,2.9,,Maternal,mom
70,rr,Night-shift work Q3 vs. Q1,age,child,1.16794,0.80166,1.70158,0.01,,Maternal,mom
71,rr,Night-shift work Q4 vs. Q1,age,child,0.98246,0.67474,1.43052,1.85,,Maternal,mom
72,rr,Western diet (m) Q2 vs. Q1,sex,female,1.20215,0.9032,1.60004,0.38,0.53614,Maternal,mom
73,rr,Western diet (m) Q3 vs. Q1,sex,female,1.5665,1.13444,2.16311,4.4,0.03583,Maternal,mom
74,rr,Western diet (m) Q4 vs. Q1,sex,female,2.02066,1.41492,2.88572,3.08,0.07886,Maternal,mom
75,rr,Physical activity (m) Q1 vs. Q4,sex,female,1.32027,1.04329,1.67079,0.39,0.52764,Maternal,mom
76,rr,Physical activity (m) Q2 vs. Q4,sex,female,1.08881,0.84045,1.41056,2.31,0.12842,Maternal,mom
77,rr,Physical activity (m) Q3 vs. Q4,sex,female,1.12102,0.85217,1.47469,0.62,0.42771,Maternal,mom
78,rr,Smoking past vs. never,sex,female,1.17258,0.94712,1.45171,0.05,0.80793,Maternal,mom
79,rr,Smoking current vs. never,sex,female,1.41224,1.03297,1.93077,0,0.94285,Maternal,mom
80,rr,Night-shift work Q2 vs. Q1,sex,female,1.12611,0.88057,1.44012,0.22,0.63191,Maternal,mom
81,rr,Night-shift work Q3 vs. Q1,sex,female,1.25908,0.9969,1.59021,0.28,0.595,Maternal,mom
82,rr,Night-shift work Q4 vs. Q1,sex,female,1.36772,1.08902,1.71775,0.72,0.39406,Maternal,mom
83,rr,Western diet (m) Q2 vs. Q1,sex,male,1.07129,0.84767,1.35389,0.38,,Maternal,mom
84,rr,Western diet (m) Q3 vs. Q1,sex,male,1.00891,0.77489,1.31361,4.4,,Maternal,mom
85,rr,Western diet (m) Q4 vs. Q1,sex,male,1.34481,1.00567,1.79832,3.08,,Maternal,mom
86,rr,Physical activity (m) Q1 vs. Q4,sex,male,1.46665,1.167,1.84323,0.39,,Maternal,mom
87,rr,Physical activity (m) Q2 vs. Q4,sex,male,1.40689,1.14296,1.73177,2.31,,Maternal,mom
88,rr,Physical activity (m) Q3 vs. Q4,sex,male,1.29281,1.02741,1.62676,0.62,,Maternal,mom
89,rr,Smoking past vs. never,sex,male,1.21168,1.0316,1.42319,0.05,,Maternal,mom
90,rr,Smoking current vs. never,sex,male,1.39103,1.05658,1.83136,0,,Maternal,mom
91,rr,Night-shift work Q2 vs. Q1,sex,male,1.21989,0.97923,1.5197,0.22,,Maternal,mom
92,rr,Night-shift work Q3 vs. Q1,sex,male,1.15129,0.90374,1.46667,0.28,,Maternal,mom
93,rr,Night-shift work Q4 vs. Q1,sex,male,1.19604,0.96863,1.47683,0.72,,Maternal,mom
94,rr,Western diet (m) Q2 vs. Q1,mob,moob,0.89467,0.62367,1.28341,1.15,0.28289,Maternal,mom
95,rr,Western diet (m) Q3 vs. Q1,mob,moob,1.24331,0.86115,1.79506,0.69,0.40614,Maternal,mom
96,rr,Western diet (m) Q4 vs. Q1,mob,moob,0.99178,0.62666,1.56964,2.01,0.15545,Maternal,mom
97,rr,Physical activity (m) Q1 vs. Q4,mob,moob,1.2374,0.85338,1.79422,0.06,0.79956,Maternal,mom
98,rr,Physical activity (m) Q2 vs. Q4,mob,moob,1.14713,0.76652,1.71673,0,0.99101,Maternal,mom
99,rr,Physical activity (m) Q3 vs. Q4,mob,moob,1.1704,0.73225,1.87074,0,0.96053,Maternal,mom
100,rr,Smoking past vs. never,mob,moob,1.19377,0.94262,1.51182,0.01,0.90432,Maternal,mom
101,rr,Smoking current vs. never,mob,moob,1.13289,0.753,1.70444,1.57,0.21014,Maternal,mom
102,rr,Night-shift work Q2 vs. Q1,mob,moob,1.12897,0.8192,1.55586,0.05,0.80906,Maternal,mom
103,rr,Night-shift work Q3 vs. Q1,mob,moob,1.06326,0.78085,1.44782,0.32,0.56747,Maternal,mom
104,rr,Night-shift work Q4 vs. Q1,mob,moob,1.06535,0.80753,1.40548,0.45,0.50206,Maternal,mom
105,rr,Western diet (m) Q2 vs. Q1,mob,nomoob,1.12405,0.90704,1.39299,1.15,,Maternal,mom
106,rr,Western diet (m) Q3 vs. Q1,mob,nomoob,1.03137,0.80155,1.32709,0.69,,Maternal,mom
107,rr,Western diet (m) Q4 vs. Q1,mob,nomoob,1.44707,1.11153,1.8839,2.01,,Maternal,mom
108,rr,Physical activity (m) Q1 vs. Q4,mob,nomoob,1.17341,0.97134,1.41751,0.06,,Maternal,mom
109,rr,Physical activity (m) Q2 vs. Q4,mob,nomoob,1.14429,0.95506,1.37101,0,,Maternal,mom
110,rr,Physical activity (m) Q3 vs. Q4,mob,nomoob,1.15628,0.96094,1.39132,0,,Maternal,mom
111,rr,Smoking past vs. never,mob,nomoob,1.17293,0.99014,1.38946,0.01,,Maternal,mom
112,rr,Smoking current vs. never,mob,nomoob,1.52898,1.21026,1.93165,1.57,,Maternal,mom
113,rr,Night-shift work Q2 vs. Q1,mob,nomoob,1.18146,0.97892,1.42591,0.05,,Maternal,mom
114,rr,Night-shift work Q3 vs. Q1,mob,nomoob,1.18122,0.97206,1.43539,0.32,,Maternal,mom
115,rr,Night-shift work Q4 vs. Q1,mob,nomoob,1.19326,0.99269,1.43435,0.45,,Maternal,mom
