analysis,Parm,mod,group,RR,UCI,LCI,exposure
adjusted,moob_preg,preg,mom,2.14,3.97,1.16,Maternal Obesity
adjusted,moob_earlych,earlych,mom,3.13,7.7,1.27,Maternal Obesity
adjusted,moob_ch,ch,mom,2.43,5.2,1.14,Maternal Obesity
adjusted,moob_adol,adol,mom,2.07,4.23,1.02,Maternal Obesity
unadjusted,pregsesq0,preg,socio,1.26,2.09,0.76,nSES Q1 vs. Q4
unadjusted,pregsesq1,preg,socio,1.25,2.07,0.75,nSES Q2 vs. Q4
unadjusted,pregsesq2,preg,socio,1.06,2.03,0.55,nSES Q3 vs. Q4
unadjusted,earlychsesq0,earlych,socio,1.53,2.62,0.89,nSES Q1 vs. Q4
unadjusted,earlychsesq1,earlych,socio,1.45,2.48,0.84,nSES Q2 vs. Q4
unadjusted,earlychsesq2,earlych,socio,1.36,2.3,0.8,nSES Q3 vs. Q4
unadjusted,chsesq0,ch,socio,1.33,2.11,0.83,nSES Q1 vs. Q4
unadjusted,chsesq1,ch,socio,1.06,1.93,0.58,nSES Q2 vs. Q4
unadjusted,chsesq2,ch,socio,0.93,1.51,0.57,nSES Q3 vs. Q4
unadjusted,adolsesq0,adol,socio,1.7,2.83,1.03,nSES Q1 vs. Q4
unadjusted,adolsesq1,adol,socio,1.32,2.47,0.7,nSES Q2 vs. Q4
unadjusted,adolsesq2,adol,socio,1.12,1.85,0.68,nSES Q3 vs. Q4
adjusted,pregsesq0,preg,socio,1.26,2.09,0.76,nSES Q1 vs. Q4
adjusted,pregsesq1,preg,socio,1.25,2.07,0.75,nSES Q2 vs. Q4
adjusted,pregsesq2,preg,socio,1.06,2.03,0.55,nSES Q3 vs. Q4
adjusted,earlychsesq0,earlych,socio,1.34,2.69,0.66,nSES Q1 vs. Q4
adjusted,earlychsesq1,earlych,socio,1.32,2.36,0.73,nSES Q2 vs. Q4
adjusted,earlychsesq2,earlych,socio,1.28,2.24,0.73,nSES Q3 vs. Q4
adjusted,chsesq0,ch,socio,1.11,2.06,0.6,nSES Q1 vs. Q4
adjusted,chsesq1,ch,socio,0.94,1.85,0.48,nSES Q2 vs. Q4
adjusted,chsesq2,ch,socio,0.86,1.49,0.5,nSES Q3 vs. Q4
adjusted,adolsesq0,adol,socio,1.46,4.45,0.48,nSES Q1 vs. Q4
adjusted,adolsesq1,adol,socio,1.19,3.66,0.39,nSES Q2 vs. Q4
adjusted,adolsesq2,adol,socio,1.05,2.04,0.54,nSES Q3 vs. Q4
