analysis,Parm,mod,group,RR,UCI,LCI,Probt,exposure,cases,total
unadjusted,moshiftb_adol,adol,mom,1.136,1.925,0.67,0.63,Maternal Shiftwork Some vs. None,125,2018
unadjusted,mowestv_pregm,preg,mom,0.993,1.512,0.652,0.973,Maternal Western Diet (trend),125,2018
unadjusted,mopav_pregm,preg,mom,0.988,1.004,0.972,0.137,Maternal  physical activity (trend),125,2018
unadjusted,mowestv_earlychm,earlych,mom,1.19,1.823,0.777,0.413,Maternal Western Diet (trend),125,2018
unadjusted,mopav_earlychm,earlych,mom,0.99,1.007,0.974,0.23,Maternal  physical activity (trend),125,2018
unadjusted,mowestv_chm,ch,mom,1.267,1.94,0.827,0.269,Maternal Western Diet (trend),125,2018
unadjusted,mopav_chm,ch,mom,0.987,1.005,0.97,0.156,Maternal  physical activity (trend),125,2018
unadjusted,mowestv_adolm,adol,mom,1.02,1.528,0.681,0.921,Maternal Western Diet (trend),125,2018
unadjusted,mopav_adolm,adol,mom,0.985,1,0.97,0.05,Maternal  physical activity (trend),125,2018
adjusted,pregmowestq1,preg,mom,1.191,2.273,0.624,0.594,Maternal Western Diet Q2 vs. Q1,125,2018
adjusted,pregmowestq2,preg,mom,1.283,2.529,0.651,0.47,Maternal Western Diet Q3 vs. Q1,125,2018
adjusted,pregmowestq3,preg,mom,1.034,2.69,0.397,0.944,Maternal Western Diet Q4 vs. Q1,125,2018
adjusted,pregmopaq0,preg,mom,1.727,3.297,0.905,0.095,Maternal physical activity Q1 vs. Q4,125,2018
adjusted,pregmopaq1,preg,mom,1.398,2.875,0.68,0.351,Maternal physical activity Q2 vs. Q4,125,2018
adjusted,pregmopaq2,preg,mom,1.2,2.325,0.62,0.582,Maternal physical activity Q3 vs. Q4,125,2018
adjusted,mosmkv_preg,preg,mom,1.134,2.156,0.597,0.678,Maternal smoking Ever vs. Never,125,2018
adjusted,moshiftb_preg,preg,mom,1.298,2.135,0.79,0.294,Maternal Shiftwork Some vs. None,125,2018
adjusted,earlychmowestq1,earlych,mom,1.098,2.223,0.543,0.791,Maternal Western Diet Q2 vs. Q1,125,2018
adjusted,earlychmowestq2,earlych,mom,1.151,2.435,0.544,0.712,Maternal Western Diet Q3 vs. Q1,125,2018
adjusted,earlychmowestq3,earlych,mom,1.146,3.42,0.384,0.805,Maternal Western Diet Q4 vs. Q1,125,2018
adjusted,earlychmopaq0,earlych,mom,1.722,3.305,0.897,0.102,Maternal physical activity Q1 vs. Q4,125,2018
adjusted,earlychmopaq1,earlych,mom,1.586,2.941,0.855,0.143,Maternal physical activity Q2 vs. Q4,125,2018
adjusted,earlychmopaq2,earlych,mom,1.243,2.387,0.647,0.509,Maternal physical activity Q3 vs. Q4,125,2018
adjusted,mosmkv_earlych,earlych,mom,1.1,2.092,0.578,0.754,Maternal smoking Ever vs. Never,125,2018
adjusted,moshiftb_earlych,earlych,mom,1.375,2.125,0.89,0.151,Maternal Shiftwork Some vs. None,125,2018
adjusted,chmowestq1,ch,mom,1.374,2.569,0.734,0.32,Maternal Western Diet Q2 vs. Q1,125,2018
adjusted,chmowestq2,ch,mom,1.004,2.279,0.442,0.992,Maternal Western Diet Q3 vs. Q1,125,2018
adjusted,chmowestq3,ch,mom,1.223,3.416,0.438,0.7,Maternal Western Diet Q4 vs. Q1,125,2018
adjusted,chmopaq0,ch,mom,1.426,2.707,0.751,0.274,Maternal physical activity Q1 vs. Q4,125,2018
adjusted,chmopaq1,ch,mom,1.692,3.688,0.776,0.173,Maternal physical activity Q2 vs. Q4,125,2018
adjusted,chmopaq2,ch,mom,1.26,2.624,0.605,0.523,Maternal physical activity Q3 vs. Q4,125,2018
adjusted,mosmkv_ch,ch,mom,1.149,2.072,0.637,0.624,Maternal smoking Ever vs. Never,125,2018
adjusted,moshiftb_ch,ch,mom,1.206,1.906,0.763,0.421,Maternal Shiftwork Some vs. None,125,2018
adjusted,adolmowestq1,adol,mom,1.028,1.951,0.541,0.933,Maternal Western Diet Q2 vs. Q1,125,2018
adjusted,adolmowestq2,adol,mom,1.002,2.355,0.427,0.995,Maternal Western Diet Q3 vs. Q1,125,2018
adjusted,adolmowestq3,adol,mom,0.845,2.087,0.342,0.71,Maternal Western Diet Q4 vs. Q1,125,2018
adjusted,adolmopaq0,adol,mom,1.434,3.717,0.553,0.442,Maternal physical activity Q1 vs. Q4,125,2018
adjusted,adolmopaq1,adol,mom,1.504,2.885,0.785,0.218,Maternal physical activity Q2 vs. Q4,125,2018
adjusted,adolmopaq2,adol,mom,1.065,2.072,0.548,0.851,Maternal physical activity Q3 vs. Q4,125,2018
adjusted,mosmkv_adol,adol,mom,1.125,2.044,0.62,0.679,Maternal smoking Ever vs. Never,125,2018
adjusted,moshiftb_adol,adol,mom,0.973,1.808,0.524,0.929,Maternal Shiftwork Some vs. None,125,2018
adjusted,mowestv_pregm,preg,mom,0.993,1.512,0.652,0.973,Maternal Western Diet (trend),125,2018
adjusted,mopav_pregm,preg,mom,0.988,1.004,0.972,0.137,Maternal  physical activity (trend),125,2018
adjusted,mowestv_earlychm,earlych,mom,1.062,1.734,0.651,0.808,Maternal Western Diet (trend),125,2018
adjusted,mopav_earlychm,earlych,mom,0.985,1.002,0.968,0.089,Maternal  physical activity (trend),125,2018
adjusted,mowestv_chm,ch,mom,1.047,1.711,0.641,0.852,Maternal Western Diet (trend),125,2018
adjusted,mopav_chm,ch,mom,0.988,1.005,0.97,0.169,Maternal  physical activity (trend),125,2018
adjusted,mowestv_adolm,adol,mom,0.902,1.401,0.58,0.638,Maternal Western Diet (trend),125,2018
adjusted,mopav_adolm,adol,mom,0.99,1.01,0.97,0.305,Maternal  physical activity (trend),125,2018
unadjusted,moob_preg,preg,mom,2.14,3.97,1.16,0.02,Maternal Obesity,125,2018
unadjusted,moob_earlych,earlych,mom,2.78,5.16,1.49,0,Maternal Obesity,125,2018
unadjusted,moob_ch,ch,mom,2.75,5.1,1.49,0,Maternal Obesity,125,2018
unadjusted,moob_adol,adol,mom,2.88,4.29,1.93,0,Maternal Obesity,125,2018
adjusted,moob_preg,preg,mom,2.14,3.97,1.16,0.02,Maternal Obesity,125,2018
adjusted,moob_earlych,earlych,mom,3.13,7.7,1.27,0.02,Maternal Obesity,125,2018
adjusted,moob_ch,ch,mom,2.43,5.2,1.14,0.02,Maternal Obesity,125,2018
adjusted,moob_adol,adol,mom,2.07,4.23,1.02,0.04,Maternal Obesity,125,2018
unadjusted,pregsesq0,preg,socio,1.26,2.093,0.758,0.369,nSES Q1 vs. Q4,175,3705
unadjusted,pregsesq1,preg,socio,1.251,2.075,0.755,0.381,nSES Q2 vs. Q4,175,3705
unadjusted,pregsesq2,preg,socio,1.057,2.03,0.55,0.862,nSES Q3 vs. Q4,175,3705
unadjusted,earlychsesq0,earlych,socio,1.529,2.624,0.891,0.121,nSES Q1 vs. Q4,175,3705
unadjusted,earlychsesq1,earlych,socio,1.447,2.483,0.843,0.176,nSES Q2 vs. Q4,175,3705
unadjusted,earlychsesq2,earlych,socio,1.359,2.298,0.804,0.249,nSES Q3 vs. Q4,175,3705
unadjusted,chsesq0,ch,socio,1.326,2.113,0.832,0.235,nSES Q1 vs. Q4,175,3705
unadjusted,chsesq1,ch,socio,1.057,1.932,0.578,0.851,nSES Q2 vs. Q4,175,3705
unadjusted,chsesq2,ch,socio,0.93,1.513,0.571,0.769,nSES Q3 vs. Q4,175,3705
unadjusted,adolsesq0,adol,socio,1.702,2.825,1.025,0.04,nSES Q1 vs. Q4,175,3705
unadjusted,adolsesq1,adol,socio,1.317,2.468,0.703,0.374,nSES Q2 vs. Q4,175,3705
unadjusted,adolsesq2,adol,socio,1.122,1.847,0.681,0.651,nSES Q3 vs. Q4,175,3705
unadjusted,sesv_pregm,preg,socio,0.968,1.029,0.911,0.29,nSES (trend),175,3705
unadjusted,sesv_earlychm,earlych,socio,0.948,1.011,0.888,0.103,nSES (trend),175,3705
unadjusted,sesv_chm,ch,socio,0.962,1.021,0.907,0.203,nSES (trend),175,3705
unadjusted,sesv_adolm,adol,socio,0.936,0.996,0.879,0.036,nSES (trend),175,3705
adjusted,pregsesq0,preg,socio,1.26,2.093,0.758,0.369,nSES Q1 vs. Q4,175,3705
adjusted,pregsesq1,preg,socio,1.251,2.075,0.755,0.381,nSES Q2 vs. Q4,175,3705
adjusted,pregsesq2,preg,socio,1.057,2.03,0.55,0.862,nSES Q3 vs. Q4,175,3705
adjusted,earlychsesq0,earlych,socio,1.336,2.692,0.663,0.415,nSES Q1 vs. Q4,175,3705
adjusted,earlychsesq1,earlych,socio,1.315,2.361,0.733,0.358,nSES Q2 vs. Q4,175,3705
adjusted,earlychsesq2,earlych,socio,1.276,2.238,0.727,0.393,nSES Q3 vs. Q4,175,3705
adjusted,chsesq0,ch,socio,1.11,2.06,0.599,0.739,nSES Q1 vs. Q4,175,3705
adjusted,chsesq1,ch,socio,0.941,1.852,0.478,0.856,nSES Q2 vs. Q4,175,3705
adjusted,chsesq2,ch,socio,0.863,1.487,0.501,0.593,nSES Q3 vs. Q4,175,3705
adjusted,adolsesq0,adol,socio,1.458,4.447,0.478,0.489,nSES Q1 vs. Q4,175,3705
adjusted,adolsesq1,adol,socio,1.188,3.656,0.386,0.741,nSES Q2 vs. Q4,175,3705
adjusted,adolsesq2,adol,socio,1.051,2.037,0.542,0.882,nSES Q3 vs. Q4,175,3705
adjusted,sesv_pregm,preg,socio,0.968,1.029,0.911,0.29,nSES (trend),175,3705
adjusted,sesv_earlychm,earlych,socio,0.965,1.051,0.886,0.41,nSES (trend),175,3705
adjusted,sesv_chm,ch,socio,0.984,1.063,0.91,0.673,nSES (trend),175,3705
adjusted,sesv_adolm,adol,socio,0.953,1.099,0.827,0.486,nSES (trend),175,3705
