analysis,Parm,mod,group,RR,UCI,LCI,exposure
unadjusted,earlychsesq2,earlych,socio,1.18,1.97,0.7,nSES Q3 vs. Q4
unadjusted,chsesq0,ch,socio,1.44,2.32,0.89,nSES Q1 vs. Q4
unadjusted,chsesq1,ch,socio,1.08,1.7,0.68,nSES Q2 vs. Q4
unadjusted,chsesq2,ch,socio,0.94,1.57,0.56,nSES Q3 vs. Q4
unadjusted,adolsesq0,adol,socio,1.79,2.87,1.12,nSES Q1 vs. Q4
unadjusted,adolsesq1,adol,socio,1.31,2.12,0.81,nSES Q2 vs. Q4
unadjusted,adolsesq2,adol,socio,1.02,1.71,0.61,nSES Q3 vs. Q4
adjusted,pregsesq0,preg,socio,1.24,2.09,0.74,nSES Q1 vs. Q4
adjusted,pregsesq1,preg,socio,1.16,1.9,0.71,nSES Q2 vs. Q4
adjusted,pregsesq2,preg,socio,0.94,1.6,0.55,nSES Q3 vs. Q4
adjusted,earlychsesq0,earlych,socio,1.08,2.09,0.55,nSES Q1 vs. Q4
adjusted,earlychsesq1,earlych,socio,1.01,1.72,0.6,nSES Q2 vs. Q4
adjusted,earlychsesq2,earlych,socio,1.04,1.82,0.59,nSES Q3 vs. Q4
adjusted,chsesq0,ch,socio,1.31,2.45,0.7,nSES Q1 vs. Q4
adjusted,chsesq1,ch,socio,1.01,1.74,0.59,nSES Q2 vs. Q4
adjusted,chsesq2,ch,socio,0.9,1.6,0.5,nSES Q3 vs. Q4
adjusted,adolsesq0,adol,socio,1.45,3.15,0.67,nSES Q1 vs. Q4
adjusted,adolsesq1,adol,socio,1.13,2.14,0.6,nSES Q2 vs. Q4
adjusted,adolsesq2,adol,socio,0.93,1.67,0.52,nSES Q3 vs. Q4
