"category","exposure","Male PAR (95% CI)","Female PAR (95% CI)","p-value* (PAR/sex)","Male RR (95% CI)","Female RR (95% CI)","p-value* (RR/sex)","Child PAR (95% CI)","Teen PAR (95% CI)","p-value* (PAR/age)","Child RR (95% CI)","Teen RR (95% CI)","p-value* (RR/age)","Mom Obese PAR (95% CI)","Mom Not Obese PAR (95% CI)","p-value* (PAR/mob)","Mom Obese RR (95% CI)","Mom Not Obese RR (95% CI)","p-value* (RR/mob)"
"Socioeconomic","Paternal education college vs. graduate school","11.14 (8.62, 13.11)","10.38 (6.97, 13.98)","=""0.92""","1.27 (1.05, 1.52)","1.25 (0.96, 1.62)","=""0.92""","15.39 (9.51, 19.05)","9.95 (7.51, 12.37)","=""0.56""","1.40 (0.94, 2.08)","1.23 (1.03, 1.47)","=""0.55""","2.72 (0.00, 13.46)","10.12 (8.39, 12.50)","=""0.46""","1.02 (0.66, 1.57)","1.24 (1.05, 1.47)","=""0.34"""
"Socioeconomic","Household income <50 k vs. >=150 k","4.14 (2.86, 5.13)","4.61 (3.69, 5.99)","=""0.88""","1.36 (1.00, 1.84)","1.45 (1.00, 2.10)","=""0.79""","3.66 (2.23, 5.25)","4.37 (3.54, 5.35)","=""0.87""","1.32 (0.73, 2.37)","1.40 (1.08, 1.81)","=""0.86""","3.69 (0.00, 6.70)","3.11 (1.61, 4.35)","=""0.91""","1.25 (0.61, 2.58)","1.27 (0.94, 1.71)","=""0.98"""
"Socioeconomic","Household income 50-99 k vs. >=150 k","5.22 (3.79, 6.54)","14.68 (9.72, 19.15)","=""0.26""","1.12 (0.89, 1.42)","1.41 (0.99, 2.00)","=""0.29""","9.64 (3.05, 15.91)","9.12 (5.02, 11.52)","=""0.97""","1.25 (0.72, 2.15)","1.23 (0.97, 1.56)","=""0.97""","5.03 (0.00, 9.75)","6.63 (5.72, 8.28)","=""0.88""","1.06 (0.59, 1.88)","1.16 (0.94, 1.42)","=""0.75"""
"Socioeconomic","Household income 100-149 k vs. >=150 k","2.55 (0.84, 5.66)","4.90 (3.39, 6.79)","=""0.63""","1.12 (0.82, 1.52)","1.26 (0.90, 1.77)","=""0.59""","3.43 (0.35, 6.40)","3.48 (2.06, 4.83)","=""0.99""","1.17 (0.69, 2.00)","1.17 (0.92, 1.49)","=""1.00""","2.66 (0.00, 5.02)","2.02 (0.00, 2.75)","=""0.91""","1.09 (0.62, 1.88)","1.09 (0.86, 1.39)","=""0.98"""
"Socioeconomic","Neighborhood SES index Q1 vs. Q4","10.77 (8.60, 11.71)","12.16 (10.70, 13.75)","=""0.76""","1.55 (1.22, 1.97)","1.58 (1.19, 2.10)","=""0.91""","16.18 (14.24, 18.37)","10.40 (7.88, 12.23)","=""0.32""","1.97 (1.24, 3.14)","1.50 (1.19, 1.90)","=""0.30""","14.61 (12.72, 16.49)","7.55 (5.80, 9.22)","=""0.23""","1.59 (1.11, 2.28)","1.36 (1.08, 1.71)","=""0.47"""
"Socioeconomic","Neighborhood SES index Q2 vs. Q4","7.50 (6.59, 8.56)","8.24 (7.78, 9.07)","=""0.85""","1.37 (1.10, 1.72)","1.43 (1.10, 1.87)","=""0.82""","10.12 (7.13, 12.61)","7.31 (6.74, 8.33)","=""0.61""","1.59 (0.98, 2.59)","1.36 (1.13, 1.65)","=""0.56""","6.92 (5.69, 8.76)","6.74 (6.16, 7.40)","=""0.97""","1.36 (0.94, 1.95)","1.32 (1.09, 1.60)","=""0.90"""
"Socioeconomic","Neighborhood SES index Q3 vs. Q4","4.59 (3.94, 4.83)","3.64 (2.36, 6.45)","=""0.82""","1.24 (1.00, 1.54)","1.19 (0.86, 1.65)","=""0.83""","6.29 (6.03, 6.68)","3.71 (3.19, 5.07)","=""0.59""","1.38 (0.89, 2.12)","1.19 (0.98, 1.45)","=""0.55""","6.55 (6.05, 7.57)","2.69 (1.82, 4.39)","=""0.33""","1.43 (1.00, 2.03)","1.13 (0.91, 1.40)","=""0.26"""
"Maternal","Maternal obesity vs. no obesity","15.86 (14.61, 16.81)","24.17 (23.26, 24.71)","=""0.01""","2.74 (2.26, 3.31)","3.67 (3.05, 4.42)","=""0.03""","20.42 (19.10, 21.77)","19.33 (18.79, 19.95)","=""0.77""","3.64 (2.68, 4.94)","3.06 (2.66, 3.51)","=""0.31""",NA,NA,"=""NA""",NA,NA,"=""NA"""
"Maternal","Maternal Western diet score Q2 vs. Q1","1.65 (0.00, 2.51)","3.50 (2.39, 4.65)","=""0.62""","1.07 (0.85, 1.35)","1.20 (0.90, 1.60)","=""0.54""","2.34 (1.02, 4.74)","2.90 (1.58, 3.98)","=""0.91""","1.12 (0.73, 1.72)","1.15 (0.93, 1.41)","=""0.93""",NA,"2.75 (1.10, 3.94)","=""NA""","0.89 (0.62, 1.28)","1.12 (0.91, 1.39)","=""0.28"""
"Maternal","Maternal Western diet score Q3 vs. Q1","0.60 (0.00, 1.65)","9.69 (7.77, 11.92)","=""0.04""","1.01 (0.77, 1.31)","1.57 (1.13, 2.16)","=""0.04""","5.37 (3.68, 7.36)","4.95 (3.71, 6.68)","=""0.94""","1.29 (0.79, 2.11)","1.25 (0.99, 1.57)","=""0.91""","5.66 (3.32, 7.17)","0.85 (0.00, 2.69)","=""0.37""","1.24 (0.86, 1.80)","1.03 (0.80, 1.33)","=""0.41"""
"Maternal","Maternal Western diet score Q4 vs. Q1","7.75 (5.73, 9.48)","17.98 (15.57, 20.40)","=""0.06""","1.34 (1.01, 1.80)","2.02 (1.41, 2.89)","=""0.08""","14.84 (12.55, 18.14)","12.75 (11.36, 14.43)","=""0.76""","1.80 (1.05, 3.08)","1.63 (1.27, 2.10)","=""0.75""","1.17 (0.00, 3.36)","9.13 (7.36, 10.70)","=""0.34""","0.99 (0.63, 1.57)","1.45 (1.11, 1.88)","=""0.16"""
"Maternal","Maternal physical activity Q1 vs. Q4","8.73 (7.11, 9.84)","7.40 (6.40, 8.32)","=""0.75""","1.47 (1.17, 1.84)","1.32 (1.04, 1.67)","=""0.53""","1.37 (0.00, 3.98)","8.84 (7.98, 10.28)","=""0.19""","1.05 (0.70, 1.58)","1.44 (1.19, 1.73)","=""0.17""","7.51 (3.40, 11.53)","3.62 (2.69, 4.19)","=""0.56""","1.24 (0.85, 1.79)","1.17 (0.97, 1.42)","=""0.80"""
"Maternal","Maternal physical activity Q2 vs. Q4","7.86 (7.06, 8.53)","2.00 (0.99, 3.78)","=""0.13""","1.41 (1.14, 1.73)","1.09 (0.84, 1.41)","=""0.13""","4.11 (2.41, 7.29)","5.34 (4.61, 6.37)","=""0.83""","1.18 (0.77, 1.79)","1.26 (1.05, 1.51)","=""0.76""","3.67 (0.00, 5.67)","3.20 (2.56, 3.81)","=""0.93""","1.15 (0.77, 1.72)","1.14 (0.96, 1.37)","=""0.99"""
"Maternal","Maternal physical activity Q3 vs. Q4","5.78 (4.64, 7.08)","2.62 (0.38, 4.22)","=""0.44""","1.29 (1.03, 1.63)","1.12 (0.85, 1.47)","=""0.43""","1.34 (0.00, 4.98)","5.13 (3.03, 6.84)","=""0.51""","1.04 (0.64, 1.69)","1.25 (0.98, 1.60)","=""0.48""","3.06 (0.00, 5.95)","3.60 (2.38, 4.31)","=""0.91""","1.17 (0.73, 1.87)","1.16 (0.96, 1.39)","=""0.96"""
