"","parameter","exposure","mod","group","subgroup","RR","LCI","UCI","Q_stat","p_het"
"46","rr","chstq1","life","mob","nomoob",1.13797,0.86636,1.49472,"0.88",0.34818
"47","rr","chstq2","life","mob","nomoob",1.08657,0.83323,1.41693,"3.76",0.05235
"48","rr","chstq3","life","mob","nomoob",1.1319,0.89794,1.42681,"0.95",0.32967
"49","rr","chpaq0","life","mob","nomoob",1.39725,1.15574,1.68923,"1.70",0.19209
"50","rr","chpaq1","life","mob","nomoob",1.11635,0.91826,1.35717,"0.37",0.54112
"51","rr","chpaq2","life","mob","nomoob",1.01399,0.83314,1.2341,"0.01",0.91569
"52","rr","chwestq1","life","age","teen",1.12223,0.93306,1.34974,"0.04",0.84044
"53","rr","chwestq2","life","age","teen",1.27084,1.02983,1.56826,"0.59",0.43983
"54","rr","chwestq3","life","age","teen",1.45325,1.14818,1.83937,"1.94",0.1627
"55","rr","chstq1","life","age","teen",1.26232,0.99536,1.60088,"3.96",0.04653
"56","rr","chstq2","life","age","teen",1.28643,1.02398,1.61615,"5.01",0.02516
"57","rr","chstq3","life","age","teen",1.274,1.02868,1.57781,"10.99",0.00091
"58","rr","chpaq0","life","age","teen",1.28088,1.07102,1.53186,"0.17",0.67887
"59","rr","chpaq1","life","age","teen",1.08774,0.89738,1.31849,"0.04",0.8352
"60","rr","chpaq2","life","age","teen",1.05308,0.85227,1.30121,"0.54",0.45984
"61","rr","mowestq1","mom","age","child",1.04143,0.669,1.62119,"0.08",0.76791
"62","rr","mowestq2","mom","age","child",1.2726,0.7228,2.24062,"0.05",0.81891
"63","rr","mowestq3","mom","age","child",1.79085,0.96729,3.31558,"0.31",0.57426
"64","rr","mopaq0","mom","age","child",1.18041,0.78195,1.78193,"0.76",0.38041
"65","rr","mopaq1","mom","age","child",1.32213,0.88698,1.97076,"0.00",0.98268
"66","rr","mopaq2","mom","age","child",1.07861,0.68361,1.70185,"0.30",0.5783
"67","rr","mosmk2","mom","age","child",1.05023,0.75327,1.46427,"0.41",0.5219
"68","rr","mosmk3","mom","age","child",0.78751,0.43072,1.43986,"4.35",0.03698
"69","rr","moshiftq1","mom","age","child",1.70236,1.15272,2.51406,"3.14",0.07638
"70","rr","moshiftq2","mom","age","child",1.15131,0.77647,1.7071,"0.02",0.87496
"71","rr","moshiftq3","mom","age","child",0.8996,0.5944,1.3615,"2.38",0.12225
"72","rr","mowestq1","mom","sex","female",1.24405,0.93241,1.65985,"1.37",0.24041
"73","rr","mowestq2","mom","sex","female",1.5746,1.11338,2.22687,"5.83",0.01574
"74","rr","mowestq3","mom","sex","female",2.05386,1.44085,2.92769,"6.35",0.01169
"75","rr","mopaq0","mom","sex","female",1.36816,1.04867,1.78498,"0.19",0.65782
