_TYPE_,_NAME_,physician,food_desert,chob,chbmi,bmibpreg,abwt,gweek,prev_preg,incom01,income,Comp_Gesdbg,Comp_prghtng,Comp_peclmpg,Delivery,pregcomp,pregcomp2,husbeduc,mosmk,agebirth,chwest,chcal,chst,chpa,moage,mowest,mocal,mopa,mobmi,moshift,ses,supermarket,restaurant,fastfood,convenience,foodswamp,supermarketz,restaurantz,fastfoodz,conveniencez,foodswampz,supermarketa,restauranta,fastfooda,conveniencea,foodswampa
CORR,prev_preg,0.0274197341,-0.022164665,,-0.055368197,0.0679622935,0.0439487577,-0.009673739,1,0.0184489081,0.0207512145,0.0040916265,-0.055827123,-0.080121717,-0.0570905,-0.069514955,-0.059951162,0.0049439602,0.048984931,0.3307687372,-0.015837629,-0.019124381,-0.01235362,0.0074025759,0.2589504897,0.012275554,0.0043089672,-0.028105944,0.0263929597,-0.008235288,-0.004948761,-0.005329214,0.0023242584,0.0016075401,-0.023222071,0.0109767991,-0.005306804,0.0023189556,0.0014508081,-0.023498806,0.0110758858,-0.005187637,0.0023042537,0.0009162044,-0.02403515,0.0108521312
CORR,incom01,-0.164840285,-0.124083214,,-0.041090473,-0.093992232,0.0048444301,-0.003549871,0.0184489081,1,0.9549725451,-0.024909389,-0.024555447,-0.002943499,-0.009623902,-0.017548531,-0.029581493,0.2946632971,0.0225275473,0.0826542171,-0.02755107,0.0123002788,0.0174792814,0.0389982724,0.0929653962,-0.15859569,-0.025307469,0.1057628916,-0.107401016,-0.019421012,0.3446497084,-0.006485212,0.0288976046,0.0243110679,-0.064528383,-0.041871706,-0.006050548,0.0291483429,0.0245178496,-0.064531607,-0.040224808,-0.004561972,0.0304802048,0.0252071533,-0.064412754,-0.04181001
CORR,income,-0.166069429,-0.125710608,,-0.04254013,-0.094050557,0.0059649129,-0.005031434,0.0207512145,0.9549725451,1,-0.019623996,-0.023753545,-0.005282734,-0.003176921,-0.010252427,-0.025575305,0.2937317017,0.020050348,0.0878991928,-0.02913498,0.0124726191,0.0137077395,0.0327494459,0.095417294,-0.160985708,-0.032545621,0.1042054628,-0.111913658,-0.022631531,0.3423630135,-0.001430727,0.0281745144,0.0244640229,-0.063507078,-0.037830204,-0.001012759,0.0284317852,0.0246791023,-0.063504578,-0.036257198,0.0004545149,0.0298389893,0.025418858,-0.063362615,-0.037761979
CORR,Comp_Gesdbg,0.0174554065,0.0066844512,,0.024872213,0.0688392597,0.0024044458,-0.039133735,0.0040916265,-0.024909389,-0.019623996,1,0.0377663244,0.020115806,0.0561898787,0.3434190691,0.6351725915,-0.015286067,0.0025459209,0.0327428524,-0.010403961,-0.011550799,0.009722617,-0.023106479,0.0250046282,0.0218678616,0.0026781829,-0.024663513,0.0758714592,0.0088009165,-0.029857231,0.0262275711,0.011064098,0.0163144153,0.0152731762,-0.004381393,0.0261421386,0.0109948764,0.0162187594,0.0151528652,-0.004788515,0.0257984021,0.0105325885,0.015904778,0.0149285939,-0.004418479
CORR,Comp_prghtng,0.0072446369,0.0266797991,,0.034830618,0.0764469332,-0.065835129,-0.066743314,-0.055827123,-0.024555447,-0.023753545,0.0377663244,1,0.3118205769,0.0829377911,0.3395644514,0.6280432626,-0.039189322,0.0037669686,0.0104139245,-0.014557804,-0.023279483,0.018739013,-0.026403844,0.0124839509,0.0081947664,-0.009479752,-0.014591621,0.1000775243,0.0171204976,-0.04202258,-0.008792531,-0.019113338,-0.018270356,-0.00112156,0.0148914087,-0.008900833,-0.019205944,-0.018396097,-0.001256753,0.0145033102,-0.009234812,-0.01964832,-0.018706962,-0.001476729,0.0148537107
CORR,Comp_peclmpg,0.0092952215,0.0114529347,,0.0218244357,0.0377913297,-0.119198959,-0.086243232,-0.080121717,-0.002943499,-0.005282734,0.020115806,0.3118205769,1,0.0996259212,0.2933065357,0.542486685,0.0059618691,-0.001518822,-0.021901819,-0.014586739,-0.020416894,0.0104452484,-0.016175246,-0.013743299,0.012607509,-0.015551895,-0.007645686,0.0720192862,0.0113694083,-0.018884992,-0.014909501,-0.014579079,-0.017688961,-0.015102568,-0.004913503,-0.014523867,-0.014336067,-0.017417087,-0.014623164,-0.003513862,-0.013569448,-0.012787673,-0.015945819,-0.013722689,-0.004953822
CORR,Delivery,0.0204874644,0.0051970474,,0.0367609265,0.1128612359,-0.062656675,-0.04874284,-0.0570905,-0.009623902,-0.003176921,0.0561898787,0.0829377911,0.0996259212,1,0.8381950411,0.1161226173,-0.010462482,0.0084673924,0.0582046813,0.0030777008,-0.01152488,0.0350064078,-0.020633144,0.0663375803,-0.000596615,-0.016950725,-0.003685225,0.1193209895,0.0340173112,-0.004787369,0.0221859891,0.0158000551,0.016068062,0.0083216659,-0.01757314,0.0225636618,0.0160108403,0.0164501527,0.0085223096,-0.016253503,0.0238240378,0.017063142,0.017463447,0.0089708196,-0.017590655
CORR,pregcomp,0.0154739656,0.0108721989,,0.0479090902,0.1323208851,-0.070686909,-0.06900374,-0.069514955,-0.017548531,-0.010252427,0.3434190691,0.3395644514,0.2933065357,0.8381950411,1,0.5406704787,-0.018651864,0.006100423,0.0582167435,-0.013103925,-0.021546448,0.037526546,-0.031072064,0.0653661703,-0.000888883,-0.019706325,-0.012213631,0.1481303201,0.035628646,-0.020588128,0.0150645649,0.0025254524,0.0040370111,0.0018281478,-0.013552255,0.0155235011,0.0027795046,0.0044508453,0.0021544242,-0.011939563,0.0169315846,0.0041935662,0.0058365644,0.0028336507,-0.013595732
CORR,pregcomp2,0.0127123314,0.0253427086,,0.0442057936,0.1012119071,-0.077271416,-0.087712235,-0.059951162,-0.029581493,-0.025575305,0.6351725915,0.6280432626,0.542486685,0.1161226173,0.5406704787,1,-0.029759282,0.0089132923,0.0165930404,-0.023149415,-0.027778489,0.0177469882,-0.032512905,0.0180005537,0.0140285907,-0.016132224,-0.021933629,0.1306659952,0.0234051379,-0.044127034,0.0074516059,-0.006089745,-0.003509103,0.0027836657,0.0011041263,0.0075750086,-0.006033517,-0.003465389,0.0029292155,0.0014885779,0.0077681301,-0.005615625,-0.002940557,0.0032133379,0.0010405347
CORR,husbeduc,-0.16037687,-0.013164177,,-0.040640561,-0.074618129,-0.021875765,-0.01537684,0.0049439602,0.2946632971,0.2937317017,-0.015286067,-0.039189322,0.0059618691,-0.010462482,-0.018651864,-0.029759282,1,-0.050984905,0.1268541578,-0.079729308,0.0057860143,-0.024416984,-0.015921379,0.126154639,-0.142601334,0.0140903603,0.066425879,-0.108510139,-0.037257009,0.289466902,0.030675165,0.0634546765,0.0684786116,0.0080996318,-0.039384679,0.0306394664,0.0634357809,0.0683606815,0.0079018687,-0.039693884,0.0304520232,0.0630345658,0.0680060907,0.0074269629,-0.039503218
