Parm,NImpute,Estimate,StdErr,LCLMean,UCLMean,DF,Min,Max,Theta0,tValue,Probt,mod,RR,LCI,UCI
gweek3,5,0.100785,0.081103,-0.06570,0.26727,26.738,0.026827,0.151419,0,1.24,0.2248,ute,1.1060384326,0.9364101273,1.3063944726
Delivery,5,0.040965,0.039169,-0.03581,0.11774,20750,0.037616,0.046359,0,1.05,0.2957,ute,1.0418151857,0.9648231703,1.1249510942
pregcomp2,5,0.115641,0.054500,0.00861,0.22268,597.78,0.101173,0.130782,0,2.12,0.0343,ute,1.1225927555,1.0086423852,1.2494165554
bpregow,5,0.636959,0.038189,0.56209,0.71183,5244.6,0.631787,0.645573,0,16.68,<.0001,ute,1.8907227584,1.7543396524,2.0377083447
prev_preg1,5,0.004286,0.041013,-0.07621,0.08478,904.39,-0.011241,0.015096,0,0.10,0.9168,ute,1.0042955627,0.9266255833,1.0884758584
prev_preg2,5,0.025272,0.048133,-0.06924,0.11979,646.46,0.013469,0.042076,0,0.53,0.5997,ute,1.0255936537,0.9330982652,1.1272578481
prev_preg3,5,0.068441,0.061572,-0.05514,0.19202,51.511,0.030334,0.109335,0,1.11,0.2715,ute,1.0708370351,0.9463519995,1.2116970813
cohort,5,0.024756,0.040910,-0.05597,0.10548,180.22,0.010165,0.040147,0,0.61,0.5458,ute,1.0250650312,0.945570091,1.1112431836
chage,5,0.077212,0.007207,0.06285,0.09158,72.841,0.072055,0.080065,0,10.71,<.0001,ute,1.0802713008,1.0648645577,1.0959009528
white,5,-0.086502,0.071038,-0.22788,0.05488,79.586,-0.136028,-0.053413,0,-1.22,0.2269,ute,0.9171340287,0.7962174385,1.0564134695
sex,5,-0.512243,0.036938,-0.58641,-0.43808,50.822,-0.531416,-0.485613,0,-13.87,<.0001,ute,0.5991500131,0.5563228115,0.6452741659
INTERCEPT,5,-3.980825,0.220002,-4.43122,-3.53043,28.365,-4.102929,-3.814119,0,-18.09,<.0001,pre,0.0186702312,0.0118999864,0.0292922634
agebirth,5,-0.001749,0.005941,-0.01393,0.01043,27.453,-0.006904,0.002061,0,-0.29,0.7707,pre,0.9982526237,0.9861663534,1.0104870212
bpregow,5,0.659166,0.037766,0.58512,0.73321,3888.4,0.652491,0.666801,0,17.45,<.0001,pre,1.9331794827,1.7952114664,2.0817508034
prev_preg1,5,-0.005186,0.040762,-0.08518,0.07481,902.49,-0.021218,0.004389,0,-0.13,0.8988,pre,0.9948276321,0.9183429148,1.077682423
prev_preg2,5,0.016587,0.048036,-0.07777,0.11095,545.35,0.004930,0.033515,0,0.35,0.7300,pre,1.0167253876,0.9251757205,1.1173342435
prev_preg3,5,0.058445,0.061914,-0.06617,0.18306,46.226,0.018736,0.100578,0,0.94,0.3501,pre,1.0601862054,0.9359754949,1.2008805745
cohort,5,0.023265,0.040889,-0.05742,0.10395,179.58,0.008355,0.038915,0,0.57,0.5701,pre,1.0235375992,0.9441977512,1.109544283
chage,5,0.077032,0.007204,0.06268,0.09139,73.808,0.071865,0.079796,0,10.69,<.0001,pre,1.0800768745,1.0646825216,1.0956938159
white,5,-0.083980,0.070576,-0.22433,0.05637,83.804,-0.131981,-0.050054,0,-1.19,0.2374,pre,0.9194496537,0.7990488683,1.0579924448
sex,5,-0.516409,0.036616,-0.58982,-0.44300,54.058,-0.535512,-0.491176,0,-14.10,<.0001,pre,0.5966592392,0.5544282495,0.6421069778
INTERCEPT,5,-3.921808,0.163208,-4.26039,-3.58323,21.883,-4.006726,-3.753646,0,-24.03,<.0001,soc,0.0198052596,0.0141168531,0.0277858178
sesq0,5,0.061226,0.057621,-0.05459,0.17705,48.592,0.031067,0.101079,0,1.06,0.2932,soc,1.0631395,0.946870994,1.193684888
sesq1,5,0.065223,0.054572,-0.04379,0.17424,64.255,0.027818,0.096674,0,1.20,0.2364,soc,1.0673971126,0.9571560186,1.1903352993
sesq2,5,0.066690,0.047283,-0.02608,0.15946,1152.4,0.051518,0.075181,0,1.41,0.1587,soc,1.0689639044,0.9742572809,1.1728768687
heduc1,5,0.229376,0.055036,0.11996,0.33879,85.462,0.207424,0.261214,0,4.17,<.0001,soc,1.2578152544,1.1274511547,1.403252999
heduc2,5,0.124486,0.041191,0.04274,0.20623,97.69,0.099721,0.139231,0,3.02,0.0032,soc,1.1325667283,1.043666929,1.2290390338
fincome1,5,0.081673,0.071124,-0.06082,0.22417,55.741,0.041997,0.117337,0,1.15,0.2557,soc,1.0851004601,0.9409914399,1.2512791919
fincome2,5,0.026557,0.058047,-0.09010,0.14321,48.901,-0.003046,0.067130,0,0.46,0.6493,soc,1.0269123142,0.9138413437,1.1539737268
fincome3,5,-0.015119,0.053751,-0.12061,0.09037,896.88,-0.028758,0.000051665,0,-0.28,0.7786,soc,0.9849947159,0.8863780577,1.0945832671
midwest,5,-0.037299,0.039044,-0.11412,0.03952,317.03,-0.051614,-0.020050,0,-0.96,0.3402,soc,0.9633878974,0.8921530022,1.0403106178
south,5,-0.049842,0.057671,-0.16608,0.06640,43.848,-0.084832,-0.005630,0,-0.86,0.3922,soc,0.9513797306,0.846977101,1.0686515499
west,5,-0.250445,0.068250,-0.39178,-0.10911,22.565,-0.301103,-0.211237,0,-3.67,0.0013,soc,0.7784546155,0.6758520857,0.8966334516
cohort,5,0.080719,0.036662,0.00862,0.15281,365.01,0.070006,0.097216,0,2.20,0.0283,soc,1.0840657676,1.0086611358,1.1651074347
chage,5,0.074557,0.007239,0.06014,0.08898,75.187,0.069721,0.077808,0,10.30,<.0001,soc,1.0774070149,1.0619815571,1.0930565301
white,5,-0.170087,0.071109,-0.31116,-0.02901,100.08,-0.214890,-0.134420,0,-2.39,0.0186,soc,0.8435916929,0.7325936653,0.97140745
sex,5,-0.514920,0.035887,-0.58650,-0.44334,69.529,-0.532349,-0.491602,0,-14.35,<.0001,soc,0.5975481177,0.5562692989,0.6418900947
INTERCEPT,5,-3.431169,0.141745,-3.71154,-3.15079,132.59,-3.487037,-3.342851,0,-24.21,<.0001,soc,0.0323491099,0.0244397844,0.042818091
ses_m,5,-0.007637,0.007533,-0.02287,0.00759,39.61,-0.013189,-0.003601,0,-1.01,0.3169,soc,0.9923923388,0.9773925077,1.0076223691
husbeduc,5,-0.113927,0.027274,-0.16827,-0.05959,74.431,-0.130113,-0.103215,0,-4.18,<.0001,soc,0.892322964,0.8451282566,0.9421531773
income,5,-0.029680,0.023934,-0.07889,0.01953,25.808,-0.047329,-0.014008,0,-1.24,0.2261,soc,0.9707560353,0.924137511,1.0197262516
midwest,5,-0.037287,0.039041,-0.11410,0.03952,319.31,-0.052159,-0.020265,0,-0.96,0.3403,soc,0.9634000524,0.8921719142,1.0403148163
south,5,-0.049574,0.057104,-0.16439,0.06525,47.916,-0.083426,-0.006623,0,-0.87,0.3896,soc,0.9516347504,0.8484079889,1.0674212289
west,5,-0.250722,0.068117,-0.39172,-0.10973,22.762,-0.301180,-0.210774,0,-3.68,0.0013,soc,0.7782384707,0.6758964355,0.8960768032
cohort,5,0.085286,0.037452,0.01145,0.15913,205.72,0.072622,0.104957,0,2.28,0.0238,soc,1.0890279511,1.0115115847,1.172484721
chage,5,0.074428,0.007236,0.06002,0.08884,75.821,0.069637,0.077723,0,10.29,<.0001,soc,1.0772680344,1.0618538592,1.0929059661
white,5,-0.170223,0.071062,-0.31120,-0.02925,100.74,-0.215007,-0.135074,0,-2.40,0.0184,soc,0.8434764783,0.7325705884,0.9711727181
sex,5,-0.514890,0.035889,-0.58648,-0.44330,69.245,-0.531874,-0.491316,0,-14.35,<.0001,soc,0.5975664688,0.5562804659,0.6419166347
INTERCEPT,5,-3.870881,0.148463,-4.17467,-3.56709,28.669,-3.945840,-3.730743,0,-26.07,<.0001,edu,0.0208400023,0.0153801953,0.0282379833
heduc1,5,0.261201,0.050094,0.16228,0.36012,162.17,0.239945,0.287745,0,5.21,<.0001,edu,1.2984879921,1.1761899156,1.4335023991
heduc2,5,0.142108,0.039277,0.06439,0.21983,127.83,0.125661,0.156386,0,3.62,0.0004,edu,1.1527015558,1.0665099911,1.2458588179
midwest,5,-0.027302,0.037667,-0.10124,0.04664,800.31,-0.035786,-0.014503,0,-0.72,0.4688,edu,0.973067632,0.903716581,1.0477406704
south,5,-0.041697,0.056296,-0.15475,0.07136,50.291,-0.073960,0.001462,0,-0.74,0.4623,edu,0.9591599729,0.8566252276,1.0739677329
west,5,-0.261050,0.066763,-0.39864,-0.12346,24.68,-0.311787,-0.226886,0,-3.91,0.0006,edu,0.7702420515,0.671230856,0.8838580835
cohort,5,0.081991,0.036728,0.00975,0.15424,335.6,0.070800,0.099082,0,2.23,0.0262,edu,1.0854456159,1.0097928569,1.1667662106
chage,5,0.074413,0.007246,0.05998,0.08885,74.144,0.069611,0.077745,0,10.27,<.0001,edu,1.0772520931,1.0618118773,1.092916831
white,5,-0.168848,0.071134,-0.31000,-0.02769,98.537,-0.214404,-0.134230,0,-2.37,0.0196,edu,0.8446372711,0.7334454049,0.9726860582
sex,5,-0.514153,0.035964,-0.58592,-0.44238,67.641,-0.531418,-0.490759,0,-14.30,<.0001,edu,0.5980071036,0.5565911067,0.6425048688
INTERCEPT,5,-3.470140,0.139458,-3.74717,-3.19311,90.633,-3.504633,-3.366386,0,-24.88,<.0001,edu,0.0311126799,0.0235843688,0.0410440855
husbeduc,5,-0.132040,0.024754,-0.18099,-0.08309,136.98,-0.145389,-0.120712,0,-5.33,<.0001,edu,0.8763059955,0.8344439233,0.9202681886
midwest,5,-0.027313,0.037681,-0.10128,0.04665,785.43,-0.035893,-0.014475,0,-0.72,0.4688,edu,0.9730568159,0.9036798088,1.0477600116
south,5,-0.041287,0.056112,-0.15390,0.07132,51.799,-0.073325,0.001371,0,-0.74,0.4652,edu,0.9595532783,0.8573620022,1.0739250066
