Parm,NImpute,Estimate,StdErr,LCLMean,UCLMean,DF,Min,Max,Theta0,tValue,Probt,mod,RR,LCI,UCI
fincome3,5,0.030871,0.108781,-0.18468,0.24642,111.52,-0.034815,0.082565,0,0.28,0.7771,swamp,1.0313524254,0.8313739431,1.2794336822
midwest,5,0.005705,0.066164,-0.12400,0.13541,5168.9,-0.012245,0.011723,0,0.09,0.9313,swamp,1.0057213771,0.8833761872,1.1450110417
south,5,-0.021231,0.094342,-0.20842,0.16596,99.386,-0.082949,0.014494,0,-0.23,0.8224,swamp,0.9789928847,0.8118682198,1.1805204896
west,5,-0.150504,0.100962,-0.34940,0.04839,237.46,-0.188214,-0.118035,0,-1.49,0.1374,swamp,0.860274621,0.7051118228,1.0495816404
cohort,5,0.045744,0.065383,-0.08263,0.17411,699.58,0.027307,0.064054,0,0.70,0.4844,swamp,1.0468067804,0.9206959543,1.1901914312
chage,5,0.098713,0.011503,0.07613,0.12130,734.33,0.095673,0.102878,0,8.58,<.0001,swamp,1.1037493212,1.0791035801,1.1289579486
white,5,-0.097171,0.120686,-0.33463,0.14029,312.04,-0.157808,-0.063510,0,-0.81,0.4213,swamp,0.9074009435,0.7156014322,1.150607636
sex,5,-0.437466,0.059874,-0.55583,-0.31910,141.76,-0.456956,-0.411199,0,-7.31,<.0001,swamp,0.6456707744,0.5735974792,0.7268001761
INTERCEPT,5,-5.112863,0.247781,-5.60031,-4.62542,327.25,-5.193626,-5.008665,0,-20.63,<.0001,swamp,0.0060188255,0.0036967296,0.0097995431
foodswampa_m,5,-0.001218,0.000656,-0.00251,0.00007,694.7,-0.001440,-0.001036,0,-1.86,0.0638,swamp,0.9987831674,0.9974979913,1.0000699994
ses_m,5,-0.062743,0.012465,-0.08734,-0.03815,183.25,-0.066657,-0.055301,0,-5.03,<.0001,swamp,0.9391849168,0.9163689283,0.9625689836
husbeduc,5,-0.147709,0.043775,-0.23368,-0.06174,596.27,-0.159944,-0.132054,0,-3.37,0.0008,swamp,0.8626823965,0.7916151512,0.9401297033
income,5,-0.054832,0.035082,-0.12388,0.01421,295.14,-0.070589,-0.046108,0,-1.56,0.1191,swamp,0.9466442463,0.8834900813,1.014312835
midwest,5,-0.006067,0.065196,-0.13391,0.12178,2396.4,-0.021454,0.008355,0,-0.09,0.9259,swamp,0.993950922,0.8746659514,1.129503708
south,5,-0.033808,0.093930,-0.22050,0.15289,87,-0.097357,0.006703,0,-0.36,0.7198,swamp,0.9667567438,0.8021142172,1.1651939108
west,5,-0.155101,0.101299,-0.35477,0.04457,213.77,-0.191430,-0.122143,0,-1.53,0.1272,swamp,0.856328782,0.701332194,1.0455800962
cohort,5,0.068109,0.064966,-0.05939,0.19561,907.75,0.051766,0.086979,0,1.05,0.2947,swamp,1.0704818391,0.942336399,1.2160533851
chage,5,0.098628,0.011530,0.07599,0.12127,656.29,0.095445,0.102904,0,8.55,<.0001,swamp,1.1036554903,1.0789497628,1.1289269281
white,5,-0.098408,0.121046,-0.33667,0.13985,284.61,-0.160340,-0.064655,0,-0.81,0.4169,swamp,0.9062794869,0.7141465616,1.1501035677
sex,5,-0.437432,0.060245,-0.55668,-0.31819,123.58,-0.457538,-0.410770,0,-7.26,<.0001,swamp,0.6456925577,0.5731100118,0.7274674503
INTERCEPT,5,-6.204532,0.285438,-6.77129,-5.63778,93.847,-6.324289,-6.031511,0,-21.74,<.0001,ind s,0.0020202534,0.0011462177,0.0035607755
superaq1,5,0.191582,0.166338,-0.13700,0.52016,155.16,0.110235,0.268787,0,1.15,0.2512,ind s,1.2111645146,0.8719736406,1.6822979652
superaq2,5,0.241634,0.172888,-0.10047,0.58374,127.32,0.161118,0.324915,0,1.40,0.1647,ind s,1.2733275275,0.9044093953,1.7927312574
superaq3,5,0.327993,0.187518,-0.04606,0.70205,69.382,0.190099,0.391979,0,1.75,0.0847,ind s,1.3881793772,0.9549855072,2.0178756314
restaq1,5,-0.049012,0.105375,-0.25748,0.15945,130.36,-0.087314,0.010306,0,-0.47,0.6426,ind s,0.9521698501,0.7729984049,1.1728710145
restaq2,5,-0.026070,0.116023,-0.25349,0.20135,12545,-0.043837,-0.008291,0,-0.22,0.8222,ind s,0.9742672115,0.7760856921,1.2230564345
restaq3,5,0.145069,0.137690,-0.12485,0.41499,6034.3,0.130762,0.179944,0,1.05,0.2921,ind s,1.1561189947,0.8826273374,1.5143550095
fastaq1,5,0.017543,0.113265,-0.20615,0.24124,159.51,-0.032701,0.074844,0,0.15,0.8771,ind s,1.0176982294,0.8137113415,1.2728219864
